GN	logFC	AveExpr	t	P.Value	adj.P.Val	B	Significance
C11orf68	-0.430	4.344	-3.354	9.61E-03	5.25E-02	-3.506	Not significant
LGALS3	0.566	5.144	3.348	9.70E-03	5.27E-02	-3.516	Not significant
NDUFB10	-0.392	4.753	-3.348	9.70E-03	5.27E-02	-3.517	Not significant
HAGH	-0.487	4.718	-3.349	9.69E-03	5.27E-02	-3.515	Not significant
RALA	-0.406	4.928	-3.346	9.73E-03	5.28E-02	-3.519	Not significant
BTAF1	0.442	5.117	3.345	9.74E-03	5.28E-02	-3.521	Not significant
SMC1A	-0.381	4.906	-3.342	9.79E-03	5.30E-02	-3.526	Not significant
NMNAT3	-0.388	3.800	-3.340	9.82E-03	5.30E-02	-3.529	Not significant
HIBCH	-0.394	4.766	-3.338	9.84E-03	5.30E-02	-3.532	Not significant
NASP	-0.464	4.977	-3.340	9.82E-03	5.30E-02	-3.529	Not significant
TUBB4B	-0.473	4.759	-3.339	9.84E-03	5.30E-02	-3.531	Not significant
TOPBP1	-0.402	3.825	-3.337	9.86E-03	5.30E-02	-3.534	Not significant
MFN2	0.393	4.871	3.336	9.88E-03	5.31E-02	-3.536	Not significant
THBD	0.517	3.822	3.335	9.90E-03	5.31E-02	-3.537	Not significant
SH3GLB2	-0.440	4.222	-3.332	9.94E-03	5.32E-02	-3.541	Not significant
KIAA2013	-0.408	4.426	-3.330	9.97E-03	5.33E-02	-3.545	Not significant
TONSL	-0.484	3.990	-3.330	9.97E-03	5.33E-02	-3.545	Not significant
ERBIN	0.394	4.940	3.327	1.00E-02	5.33E-02	-3.550	Not significant
ABHD14B	-0.423	5.764	-3.328	1.00E-02	5.33E-02	-3.548	Not significant
GID8	-0.698	4.130	-3.328	1.00E-02	5.33E-02	-3.549	Not significant
ERLIN1	-0.412	5.405	-3.321	1.01E-02	5.38E-02	-3.559	Not significant
FIS1	-0.418	5.351	-3.318	1.01E-02	5.39E-02	-3.563	Not significant
GPI	-0.392	5.272	-3.313	1.02E-02	5.43E-02	-3.572	Not significant
MCM6	-0.402	4.729	-3.311	1.03E-02	5.43E-02	-3.575	Not significant
RREB1	-0.945	3.313	-3.311	1.03E-02	5.43E-02	-3.575	Not significant
ABCC1	0.387	4.357	3.305	1.04E-02	5.47E-02	-3.585	Not significant
GGCT	-0.430	5.200	-3.304	1.04E-02	5.47E-02	-3.586	Not significant
NAXE	-0.386	4.745	-3.297	1.05E-02	5.53E-02	-3.597	Not significant
PAPSS1	0.383	4.294	3.294	1.05E-02	5.53E-02	-3.602	Not significant
PYCR1	-0.378	4.719	-3.293	1.05E-02	5.53E-02	-3.602	Not significant
BCL7C	-0.477	5.105	-3.294	1.05E-02	5.53E-02	-3.602	Not significant
AGAP2	-0.407	4.390	-3.292	1.06E-02	5.54E-02	-3.605	Not significant
FRG1	-0.385	4.861	-3.286	1.06E-02	5.58E-02	-3.614	Not significant
DHX30	0.371	5.113	3.285	1.07E-02	5.58E-02	-3.615	Not significant
TRIM56	0.475	3.966	3.284	1.07E-02	5.59E-02	-3.617	Not significant
CD93	0.383	5.010	3.282	1.07E-02	5.59E-02	-3.621	Not significant
GNG5	-0.413	5.292	-3.281	1.07E-02	5.59E-02	-3.623	Not significant
HMGB2	-0.416	5.707	-3.281	1.07E-02	5.59E-02	-3.622	Not significant
TBCC	-0.464	4.949	-3.283	1.07E-02	5.59E-02	-3.620	Not significant
COPA	0.398	5.160	3.280	1.08E-02	5.59E-02	-3.624	Not significant
ZNF451	-0.420	3.687	-3.278	1.08E-02	5.60E-02	-3.627	Not significant
PDLIM5	0.391	5.003	3.277	1.08E-02	5.60E-02	-3.629	Not significant
SMC4	-0.402	4.603	-3.275	1.08E-02	5.60E-02	-3.631	Not significant
DNAJC8	-0.470	5.717	-3.275	1.08E-02	5.60E-02	-3.632	Not significant
AGL	-0.374	3.918	-3.273	1.09E-02	5.61E-02	-3.635	Not significant
FCGR2C	-0.401	3.419	-3.273	1.09E-02	5.61E-02	-3.634	Not significant
SELK	0.622	4.799	3.270	1.09E-02	5.62E-02	-3.640	Not significant
ZAK	0.436	3.765	3.268	1.09E-02	5.63E-02	-3.643	Not significant
ASNS	-0.509	5.013	-3.268	1.10E-02	5.63E-02	-3.643	Not significant
ZMIZ2	0.479	3.634	3.263	1.10E-02	5.66E-02	-3.650	Not significant
MARCKSL1	0.581	4.663	3.261	1.11E-02	5.67E-02	-3.654	Not significant
IGF2BP2	-0.389	4.439	-3.261	1.11E-02	5.67E-02	-3.654	Not significant
MTM1	-0.422	5.530	-3.259	1.11E-02	5.68E-02	-3.657	Not significant
CNP	0.383	5.122	3.256	1.12E-02	5.70E-02	-3.662	Not significant
BABAM1	-0.399	4.843	-3.256	1.12E-02	5.70E-02	-3.663	Not significant
CAMK1	-0.416	5.091	-3.255	1.12E-02	5.70E-02	-3.664	Not significant
RICTOR	0.639	3.320	3.254	1.12E-02	5.70E-02	-3.666	Not significant
KPNA4	0.424	4.272	3.249	1.13E-02	5.72E-02	-3.674	Not significant
PPP1R7	-0.367	4.844	-3.247	1.13E-02	5.72E-02	-3.675	Not significant
PLCB2	-0.427	4.381	-3.248	1.13E-02	5.72E-02	-3.675	Not significant
SEPT7	-0.477	4.781	-3.249	1.13E-02	5.72E-02	-3.674	Not significant
RAB11FIP5	-0.499	4.259	-3.251	1.12E-02	5.72E-02	-3.670	Not significant
SLC2A3	-0.379	3.621	-3.245	1.13E-02	5.72E-02	-3.679	Not significant
C21orf33	-0.396	5.325	-3.244	1.14E-02	5.72E-02	-3.681	Not significant
PRKCSH	-0.420	4.658	-3.245	1.13E-02	5.72E-02	-3.679	Not significant
RUVBL2	-0.440	5.088	-3.244	1.14E-02	5.72E-02	-3.681	Not significant
TRAPPC10	0.548	3.876	3.241	1.14E-02	5.74E-02	-3.685	Not significant
EYA3	0.471	4.585	3.237	1.15E-02	5.76E-02	-3.691	Not significant
ANKRD27	0.405	3.387	3.235	1.15E-02	5.76E-02	-3.696	Not significant
NCF2	0.387	4.331	3.235	1.15E-02	5.76E-02	-3.695	Not significant
SSNA1	-0.480	4.979	-3.236	1.15E-02	5.76E-02	-3.694	Not significant
MRPL58	-0.541	4.572	-3.234	1.15E-02	5.76E-02	-3.697	Not significant
OSBPL5	-0.653	3.716	-3.235	1.15E-02	5.76E-02	-3.694	Not significant
PDCD2	0.494	4.614	3.228	1.16E-02	5.77E-02	-3.706	Not significant
RDH11	0.410	4.915	3.232	1.16E-02	5.77E-02	-3.700	Not significant
ATP5L	-0.364	5.011	-3.231	1.16E-02	5.77E-02	-3.702	Not significant
DDT	-0.385	5.591	-3.227	1.16E-02	5.77E-02	-3.707	Not significant
RNASEH2C	-0.404	4.627	-3.228	1.16E-02	5.77E-02	-3.707	Not significant
ACSF2	-0.408	4.877	-3.230	1.16E-02	5.77E-02	-3.702	Not significant
RAB33A	-0.548	4.295	-3.229	1.16E-02	5.77E-02	-3.705	Not significant
SPECC1	-0.654	3.680	-3.229	1.16E-02	5.77E-02	-3.705	Not significant
RCOR1	-0.381	4.309	-3.226	1.17E-02	5.77E-02	-3.710	Not significant
GTF2F1	0.384	4.549	3.224	1.17E-02	5.78E-02	-3.712	Not significant
GMIP	0.379	4.213	3.219	1.18E-02	5.80E-02	-3.721	Not significant
TPD52	-0.365	5.051	-3.220	1.18E-02	5.80E-02	-3.719	Not significant
OCIAD1	-0.401	4.901	-3.220	1.18E-02	5.80E-02	-3.719	Not significant
HIST1H1E	-0.487	5.400	-3.220	1.18E-02	5.80E-02	-3.719	Not significant
EGLN1	-0.391	5.395	-3.218	1.18E-02	5.80E-02	-3.722	Not significant
COMMD1	-0.413	4.829	-3.216	1.18E-02	5.81E-02	-3.725	Not significant
HSP90AA1	-0.375	5.089	-3.215	1.19E-02	5.81E-02	-3.726	Not significant
UXS1	0.522	4.447	3.214	1.19E-02	5.82E-02	-3.728	Not significant
ATP2B1	0.557	4.002	3.209	1.20E-02	5.86E-02	-3.736	Not significant
KPNA6	0.503	4.007	3.199	1.22E-02	5.93E-02	-3.753	Not significant
RPS25	-0.442	5.115	-3.199	1.22E-02	5.93E-02	-3.752	Not significant
PGAM4	-0.362	4.771	-3.198	1.22E-02	5.94E-02	-3.754	Not significant
MYOF	0.462	4.453	3.194	1.23E-02	5.95E-02	-3.760	Not significant
GTF3C3	0.362	4.919	3.193	1.23E-02	5.95E-02	-3.762	Not significant
TMF1	0.362	4.828	3.194	1.23E-02	5.95E-02	-3.761	Not significant
NDUFS7	-0.375	4.325	-3.192	1.23E-02	5.95E-02	-3.763	Not significant
CDK6	-0.417	5.051	-3.192	1.23E-02	5.95E-02	-3.764	Not significant
CNN2	-0.436	5.305	-3.195	1.22E-02	5.95E-02	-3.759	Not significant
KPNB1	0.362	5.079	3.182	1.25E-02	6.03E-02	-3.779	Not significant
CPNE1	-0.378	4.835	-3.182	1.25E-02	6.03E-02	-3.779	Not significant
LAT2	-0.426	4.800	-3.180	1.25E-02	6.04E-02	-3.783	Not significant
IDH1	-0.378	5.378	-3.178	1.26E-02	6.05E-02	-3.785	Not significant
SYMPK	0.465	5.006	3.175	1.26E-02	6.06E-02	-3.790	Not significant
ZFAND5	0.402	4.483	3.175	1.26E-02	6.06E-02	-3.791	Not significant
TEX10	0.358	4.813	3.174	1.26E-02	6.06E-02	-3.792	Not significant
TOR1AIP1_Q5JTV8-3	-0.397	3.349	-3.172	1.27E-02	6.08E-02	-3.795	Not significant
GALK1	-0.437	4.115	-3.170	1.27E-02	6.09E-02	-3.798	Not significant
IDH3B	0.368	4.888	3.165	1.28E-02	6.12E-02	-3.806	Not significant
NCBP1	0.358	5.514	3.166	1.28E-02	6.12E-02	-3.805	Not significant
PTGS1	-0.388	4.688	-3.166	1.28E-02	6.12E-02	-3.804	Not significant
CACYBP	-0.380	5.894	-3.154	1.30E-02	6.20E-02	-3.824	Not significant
FAM175B	-0.393	5.386	-3.154	1.30E-02	6.20E-02	-3.824	Not significant
XRCC6	-0.547	5.464	-3.155	1.30E-02	6.20E-02	-3.822	Not significant
FAM3C	0.406	4.656	3.153	1.31E-02	6.21E-02	-3.826	Not significant
EP400	0.380	4.233	3.150	1.31E-02	6.23E-02	-3.831	Not significant
UBE2K	-0.416	5.042	-3.148	1.32E-02	6.23E-02	-3.833	Not significant
RCN2	-0.565	4.394	-3.148	1.32E-02	6.23E-02	-3.834	Not significant
FKBP9	-0.438	5.017	-3.147	1.32E-02	6.24E-02	-3.836	Not significant
ENPP4	0.384	5.479	3.142	1.33E-02	6.24E-02	-3.843	Not significant
EIF4G2	0.383	5.055	3.145	1.32E-02	6.24E-02	-3.838	Not significant
TACC1	0.377	4.127	3.142	1.33E-02	6.24E-02	-3.843	Not significant
DOK1	-0.366	3.095	-3.143	1.33E-02	6.24E-02	-3.841	Not significant
YY1	-0.424	4.679	-3.143	1.33E-02	6.24E-02	-3.841	Not significant
IGFBP4	-0.863	3.539	-3.143	1.33E-02	6.24E-02	-3.842	Not significant
ATG4B	0.432	3.499	3.139	1.33E-02	6.26E-02	-3.848	Not significant
CAPN1	-0.389	5.157	-3.140	1.33E-02	6.26E-02	-3.847	Not significant
SRP14	-0.396	5.500	-3.138	1.34E-02	6.26E-02	-3.849	Not significant
SAAL1	0.416	4.050	3.135	1.34E-02	6.27E-02	-3.854	Not significant
PDE12	0.383	3.761	3.135	1.34E-02	6.27E-02	-3.853	Not significant
USP9Y	0.362	4.393	3.130	1.35E-02	6.29E-02	-3.861	Not significant
AK2	-0.357	5.000	-3.130	1.35E-02	6.29E-02	-3.862	Not significant
NDUFB7	-0.374	3.823	-3.133	1.35E-02	6.29E-02	-3.858	Not significant
OXCT1	-0.377	4.703	-3.130	1.35E-02	6.29E-02	-3.861	Not significant
FKBP1A	-0.382	4.023	-3.132	1.35E-02	6.29E-02	-3.859	Not significant
BOLA2	-0.474	5.208	-3.129	1.35E-02	6.29E-02	-3.864	Not significant
TDP1	-0.491	4.216	-3.125	1.36E-02	6.32E-02	-3.870	Not significant
PPIH	-0.367	4.741	-3.123	1.37E-02	6.33E-02	-3.873	Not significant
GNS	-0.368	5.273	-3.120	1.37E-02	6.35E-02	-3.878	Not significant
ZFP36L2	-0.377	4.576	-3.118	1.38E-02	6.37E-02	-3.881	Not significant
SETX	0.418	4.200	3.115	1.38E-02	6.39E-02	-3.885	Not significant
RCC1L	0.421	3.839	3.114	1.38E-02	6.39E-02	-3.887	Not significant
RBM25	0.371	5.041	3.112	1.39E-02	6.39E-02	-3.891	Not significant
ELF1	-0.503	3.967	-3.112	1.39E-02	6.39E-02	-3.890	Not significant
PPP1R3G	-0.546	4.393	-3.111	1.39E-02	6.39E-02	-3.892	Not significant
ZNF511	-0.694	3.252	-3.113	1.39E-02	6.39E-02	-3.889	Not significant
SNRPF	-0.458	4.478	-3.109	1.40E-02	6.41E-02	-3.896	Not significant
DENND4B	1.090	3.542	3.099	1.42E-02	6.42E-02	-3.912	Not significant
B4GALT1	0.685	3.653	3.106	1.40E-02	6.42E-02	-3.900	Not significant
HCCS	0.451	3.998	3.103	1.41E-02	6.42E-02	-3.905	Not significant
UTP14C	0.442	4.330	3.103	1.41E-02	6.42E-02	-3.905	Not significant
AKAP8L	0.384	4.768	3.102	1.41E-02	6.42E-02	-3.907	Not significant
TRRAP	0.382	4.030	3.101	1.41E-02	6.42E-02	-3.908	Not significant
CUX1	0.378	4.392	3.102	1.41E-02	6.42E-02	-3.906	Not significant
STAG2	0.356	5.160	3.100	1.42E-02	6.42E-02	-3.910	Not significant
RBMS2	0.356	5.077	3.106	1.40E-02	6.42E-02	-3.900	Not significant
KDM2A	0.354	4.675	3.100	1.42E-02	6.42E-02	-3.909	Not significant
COPG1	0.349	4.845	3.099	1.42E-02	6.42E-02	-3.912	Not significant
NDUFA5	-0.379	4.994	-3.102	1.41E-02	6.42E-02	-3.906	Not significant
CAP1_Q01518-2	-0.415	3.760	-3.104	1.41E-02	6.42E-02	-3.903	Not significant
CCZ1B	0.437	4.565	3.097	1.42E-02	6.42E-02	-3.915	Not significant
RBBP4	-0.374	5.350	-3.096	1.42E-02	6.42E-02	-3.915	Not significant
RAB11A	-0.382	5.112	-3.097	1.42E-02	6.42E-02	-3.914	Not significant
P4HB	-0.406	5.265	-3.092	1.43E-02	6.45E-02	-3.922	Not significant
SCO2	-0.427	3.839	-3.093	1.43E-02	6.45E-02	-3.921	Not significant
DDX28	0.555	3.873	3.090	1.44E-02	6.46E-02	-3.926	Not significant
NUDT3	-0.388	4.563	-3.090	1.44E-02	6.46E-02	-3.926	Not significant
NEDD1	-0.371	3.723	-3.089	1.44E-02	6.47E-02	-3.928	Not significant
PAAF1	-0.355	4.540	-3.080	1.46E-02	6.55E-02	-3.942	Not significant
RSU1	-0.375	5.363	-3.079	1.46E-02	6.56E-02	-3.944	Not significant
HEXB	-0.388	4.759	-3.076	1.47E-02	6.58E-02	-3.948	Not significant
FAM213A	-0.348	5.077	-3.075	1.47E-02	6.58E-02	-3.950	Not significant
TBL2	0.472	4.594	3.073	1.48E-02	6.60E-02	-3.953	Not significant
IDH3A	0.371	5.310	3.069	1.49E-02	6.62E-02	-3.960	Not significant
DUSP3	-0.352	5.374	-3.069	1.48E-02	6.62E-02	-3.959	Not significant
METTL14	-0.391	4.702	-3.069	1.48E-02	6.62E-02	-3.959	Not significant
RFC5	-0.410	4.482	-3.065	1.49E-02	6.64E-02	-3.966	Not significant
USP48	-0.485	3.972	-3.065	1.50E-02	6.64E-02	-3.966	Not significant
6.0000	-0.395	5.200	-3.063	1.50E-02	6.65E-02	-3.969	Not significant
QSOX2	0.431	3.856	3.057	1.51E-02	6.70E-02	-3.979	Not significant
GSR	0.375	5.207	3.056	1.51E-02	6.70E-02	-3.979	Not significant
AKAP2	-0.352	4.822	-3.056	1.52E-02	6.70E-02	-3.980	Not significant
SCRN3	-0.364	4.445	-3.058	1.51E-02	6.70E-02	-3.977	Not significant
CHMP4A	-0.435	4.946	-3.055	1.52E-02	6.70E-02	-3.981	Not significant
HNRNPH3	-0.348	4.274	-3.052	1.52E-02	6.72E-02	-3.986	Not significant
GMDS	-0.398	4.746	-3.050	1.53E-02	6.74E-02	-3.990	Not significant
ATP7B	-0.463	5.652	-3.048	1.53E-02	6.75E-02	-3.993	Not significant
NR3C2	0.345	4.530	3.044	1.54E-02	6.76E-02	-3.999	Not significant
HMGB3	-0.366	5.242	-3.044	1.54E-02	6.76E-02	-3.999	Not significant
PHKG2	-0.440	4.026	-3.044	1.54E-02	6.76E-02	-3.999	Not significant
IDUA	-0.467	4.301	-3.046	1.54E-02	6.76E-02	-3.995	Not significant
ARPC5L	-0.476	5.007	-3.044	1.54E-02	6.76E-02	-3.999	Not significant
YWHAZ	-0.347	5.397	-3.043	1.55E-02	6.76E-02	-4.001	Not significant
ATP2A3	-0.354	4.146	-3.042	1.55E-02	6.77E-02	-4.002	Not significant
TFRC	0.352	4.916	3.041	1.55E-02	6.77E-02	-4.004	Not significant
PDCD6	-0.350	4.740	-3.039	1.56E-02	6.78E-02	-4.007	Not significant
CCDC43	-0.390	4.738	-3.038	1.56E-02	6.79E-02	-4.009	Not significant
BCOR	-0.439	3.853	-3.034	1.57E-02	6.82E-02	-4.014	Not significant
TRAFD1	0.423	4.220	3.034	1.57E-02	6.82E-02	-4.015	Not significant
RAD21	-0.347	4.304	-3.030	1.58E-02	6.85E-02	-4.021	Not significant
PPA1	0.371	5.340	3.027	1.58E-02	6.86E-02	-4.025	Not significant
CALM1	-0.355	4.520	-3.027	1.58E-02	6.86E-02	-4.026	Not significant
BAX	-0.554	4.205	-3.028	1.58E-02	6.86E-02	-4.025	Not significant
RARS2	0.366	4.387	3.022	1.60E-02	6.88E-02	-4.033	Not significant
RPS8	0.343	4.414	3.023	1.59E-02	6.88E-02	-4.033	Not significant
ESYT1	-0.342	4.635	-3.023	1.59E-02	6.88E-02	-4.032	Not significant
PNISR	-0.353	4.999	-3.024	1.59E-02	6.88E-02	-4.032	Not significant
ZDHHC3	-0.364	4.522	-3.023	1.59E-02	6.88E-02	-4.032	Not significant
RFC1	-0.378	4.067	-3.018	1.61E-02	6.91E-02	-4.040	Not significant
DTYMK	-0.378	5.354	-3.018	1.61E-02	6.91E-02	-4.041	Not significant
IL16	-0.382	3.764	-3.014	1.62E-02	6.95E-02	-4.047	Not significant
GPHN	-0.348	5.112	-3.011	1.62E-02	6.96E-02	-4.051	Not significant
IBTK	-0.533	5.392	-3.012	1.62E-02	6.96E-02	-4.050	Not significant
ZGPAT	0.368	3.634	3.010	1.63E-02	6.97E-02	-4.054	Not significant
AKR7A2	-0.411	4.642	-3.005	1.64E-02	7.02E-02	-4.062	Not significant
NME7	-0.409	3.751	-3.004	1.64E-02	7.02E-02	-4.063	Not significant
SEPHS1	-0.413	4.436	-3.003	1.65E-02	7.03E-02	-4.065	Not significant
SNIP1	0.396	4.307	3.001	1.65E-02	7.04E-02	-4.068	Not significant
ANKRD44	0.341	4.232	2.999	1.65E-02	7.04E-02	-4.071	Not significant
CLIC1	-0.350	4.913	-2.998	1.66E-02	7.04E-02	-4.072	Not significant
SEP15	-0.381	5.002	-2.999	1.65E-02	7.04E-02	-4.071	Not significant
XRCC1	-0.388	4.823	-2.998	1.66E-02	7.04E-02	-4.072	Not significant
ADH5	-0.404	5.188	-2.998	1.66E-02	7.04E-02	-4.073	Not significant
SMARCA2	-0.377	4.790	-2.996	1.66E-02	7.05E-02	-4.076	Not significant
HSPBP1	0.547	3.462	2.994	1.67E-02	7.06E-02	-4.078	Not significant
GTF2I	0.351	4.786	2.993	1.67E-02	7.07E-02	-4.081	Not significant
NCL	-0.340	5.518	-2.991	1.68E-02	7.09E-02	-4.084	Not significant
NMNAT1	-0.397	4.737	-2.990	1.68E-02	7.09E-02	-4.085	Not significant
PIK3CD	0.383	4.912	2.987	1.69E-02	7.10E-02	-4.090	Not significant
GTPBP1	0.371	4.920	2.987	1.69E-02	7.10E-02	-4.090	Not significant
MRPL10	-0.343	5.128	-2.988	1.68E-02	7.10E-02	-4.088	Not significant
DPF2	-0.405	3.977	-2.987	1.69E-02	7.10E-02	-4.090	Not significant
MYEF2	-0.488	5.053	-2.983	1.70E-02	7.13E-02	-4.096	Not significant
PACS1	-0.354	4.427	-2.980	1.71E-02	7.16E-02	-4.102	Not significant
MT1X	0.750	3.364	2.978	1.71E-02	7.17E-02	-4.105	Not significant
ATP2A2	0.391	4.895	2.976	1.71E-02	7.18E-02	-4.107	Not significant
GFM1	0.354	5.311	2.974	1.72E-02	7.20E-02	-4.111	Not significant
FOSL2	-0.344	4.429	-2.969	1.73E-02	7.24E-02	-4.120	Not significant
APRT	-0.357	5.164	-2.969	1.73E-02	7.24E-02	-4.119	Not significant
TPM3	-0.364	4.267	-2.970	1.73E-02	7.24E-02	-4.117	Not significant
GPATCH11	-0.399	4.363	-2.970	1.73E-02	7.24E-02	-4.118	Not significant
SLC25A11	-0.342	5.002	-2.966	1.74E-02	7.25E-02	-4.124	Not significant
GATM	-0.361	4.564	-2.966	1.74E-02	7.25E-02	-4.123	Not significant
ZYX	-0.348	4.867	-2.964	1.75E-02	7.26E-02	-4.126	Not significant
PGRMC1	-0.536	4.683	-2.964	1.75E-02	7.26E-02	-4.127	Not significant
SMC3	-0.356	4.717	-2.959	1.76E-02	7.30E-02	-4.134	Not significant
TPT1	0.363	5.095	2.959	1.76E-02	7.30E-02	-4.135	Not significant
AIF1	-0.346	5.619	-2.955	1.77E-02	7.33E-02	-4.141	Not significant
UBL4A	-0.349	4.945	-2.955	1.77E-02	7.33E-02	-4.141	Not significant
MRPS16	-0.364	5.411	-2.954	1.77E-02	7.34E-02	-4.143	Not significant
SCYL2	0.338	3.863	2.952	1.78E-02	7.36E-02	-4.147	Not significant
TFEB	0.349	5.377	2.949	1.79E-02	7.37E-02	-4.150	Not significant
GPD1L	-0.367	4.527	-2.949	1.79E-02	7.37E-02	-4.150	Not significant
ATP5J	-0.524	4.256	-2.949	1.79E-02	7.37E-02	-4.151	Not significant
PATL1	0.459	4.896	2.947	1.79E-02	7.37E-02	-4.153	Not significant
MCRIP2	-0.456	4.348	-2.948	1.79E-02	7.37E-02	-4.153	Not significant
PSMB9	0.343	4.696	2.946	1.80E-02	7.38E-02	-4.155	Not significant
SRF	-0.338	5.782	-2.945	1.80E-02	7.38E-02	-4.157	Not significant
SDF2L1	-0.356	5.026	-2.944	1.80E-02	7.38E-02	-4.158	Not significant
DNAJB12	0.554	4.001	2.942	1.81E-02	7.40E-02	-4.162	Not significant
EIF3L	0.337	5.102	2.940	1.81E-02	7.40E-02	-4.166	Not significant
HDAC2	-0.342	5.845	-2.939	1.81E-02	7.40E-02	-4.166	Not significant
TBCA	-0.365	5.332	-2.941	1.81E-02	7.40E-02	-4.164	Not significant
METTL17	-0.373	3.972	-2.940	1.81E-02	7.40E-02	-4.166	Not significant
RALY	-0.343	5.421	-2.937	1.82E-02	7.42E-02	-4.170	Not significant
ZKSCAN1	-0.363	5.690	-2.935	1.83E-02	7.43E-02	-4.172	Not significant
ARHGAP9	-0.401	4.411	-2.936	1.82E-02	7.43E-02	-4.172	Not significant
FAM91A1	0.430	4.583	2.933	1.83E-02	7.44E-02	-4.176	Not significant
EML2	-0.345	5.207	-2.932	1.84E-02	7.46E-02	-4.178	Not significant
TRAF3IP3	-0.415	4.385	-2.929	1.84E-02	7.48E-02	-4.182	Not significant
THOC3	-0.362	5.773	-2.928	1.85E-02	7.48E-02	-4.184	Not significant
SUMF2	-0.343	4.569	-2.927	1.85E-02	7.49E-02	-4.185	Not significant
NUFIP2	0.365	5.077	2.922	1.86E-02	7.53E-02	-4.193	Not significant
DERL1	0.352	5.163	2.920	1.87E-02	7.53E-02	-4.197	Not significant
EIF3D	0.349	4.868	2.920	1.87E-02	7.53E-02	-4.196	Not significant
NFATC2	-0.370	3.907	-2.921	1.87E-02	7.53E-02	-4.195	Not significant
IRS2	-0.465	3.659	-2.922	1.86E-02	7.53E-02	-4.194	Not significant
C20orf27	-0.360	5.471	-2.915	1.89E-02	7.59E-02	-4.205	Not significant
C18orf25	0.445	4.369	2.910	1.90E-02	7.64E-02	-4.213	Not significant
PPP2R1A	0.345	4.866	2.908	1.91E-02	7.66E-02	-4.216	Not significant
CHORDC1	0.367	5.033	2.906	1.91E-02	7.67E-02	-4.219	Not significant
NOP16	0.360	4.861	2.904	1.92E-02	7.69E-02	-4.222	Not significant
MSH6	-0.327	4.985	-2.904	1.92E-02	7.69E-02	-4.223	Not significant
SYK	-0.337	4.607	-2.902	1.92E-02	7.70E-02	-4.226	Not significant
PFDN6	-0.398	5.315	-2.902	1.92E-02	7.70E-02	-4.226	Not significant
CD74	0.512	4.675	2.901	1.93E-02	7.70E-02	-4.228	Not significant
PSMA5	0.349	5.009	2.898	1.94E-02	7.71E-02	-4.233	Not significant
NRAS	-0.335	4.918	-2.899	1.93E-02	7.71E-02	-4.231	Not significant
HEXIM1	-0.347	3.274	-2.897	1.94E-02	7.71E-02	-4.233	Not significant
ENO1	-0.399	5.824	-2.898	1.93E-02	7.71E-02	-4.232	Not significant
NKTR	-1.390	5.203	-2.894	1.95E-02	7.74E-02	-4.238	Not significant
ETF1	0.340	5.597	2.891	1.96E-02	7.77E-02	-4.243	Not significant
CAT	-0.331	4.868	-2.890	1.96E-02	7.77E-02	-4.245	Not significant
DIABLO	-0.332	4.506	-2.890	1.96E-02	7.77E-02	-4.245	Not significant
ZMYND8	-0.337	3.812	-2.890	1.96E-02	7.77E-02	-4.246	Not significant
SCP2	-0.416	5.144	-2.889	1.96E-02	7.77E-02	-4.246	Not significant
ACOT11	-0.345	4.754	-2.887	1.97E-02	7.79E-02	-4.250	Not significant
RTCA	0.347	4.730	2.884	1.98E-02	7.80E-02	-4.254	Not significant
ATOX1	0.332	4.910	2.885	1.98E-02	7.80E-02	-4.254	Not significant
GNAQ	-0.381	4.946	-2.886	1.97E-02	7.80E-02	-4.252	Not significant
ACTN1	-0.347	4.888	-2.883	1.98E-02	7.81E-02	-4.256	Not significant
PSPC1	-0.331	4.685	-2.877	2.00E-02	7.87E-02	-4.265	Not significant
L3MBTL3	-0.358	4.008	-2.876	2.00E-02	7.88E-02	-4.268	Not significant
PHB2	-0.390	4.964	-2.874	2.01E-02	7.88E-02	-4.270	Not significant
ZNF280D	-0.406	3.583	-2.875	2.01E-02	7.88E-02	-4.269	Not significant
NPLOC4	0.324	5.019	2.867	2.03E-02	7.97E-02	-4.282	Not significant
MCM2	-0.347	4.990	-2.866	2.04E-02	7.98E-02	-4.284	Not significant
SAP30	-0.387	4.843	-2.865	2.04E-02	7.98E-02	-4.286	Not significant
RFX5	-0.324	4.485	-2.863	2.04E-02	7.99E-02	-4.288	Not significant
PREX1	-0.382	4.566	-2.863	2.04E-02	7.99E-02	-4.288	Not significant
GTPBP4	0.352	5.092	2.858	2.06E-02	8.04E-02	-4.296	Not significant
3.0000	-0.378	4.358	-2.853	2.08E-02	8.10E-02	-4.304	Not significant
AKR1A1	-0.324	5.142	-2.844	2.10E-02	8.20E-02	-4.318	Not significant
DCTN3	-0.370	4.637	-2.841	2.11E-02	8.23E-02	-4.323	Not significant
RTF1	-0.376	5.086	-2.842	2.11E-02	8.23E-02	-4.322	Not significant
MAPK3	-0.329	5.214	-2.839	2.12E-02	8.24E-02	-4.327	Not significant
AHCY	-0.342	5.505	-2.839	2.12E-02	8.24E-02	-4.327	Not significant
TADA3	-0.460	3.518	-2.839	2.12E-02	8.24E-02	-4.326	Not significant
LRRC8C	-0.337	4.322	-2.837	2.13E-02	8.26E-02	-4.330	Not significant
TCEB1	-0.342	5.412	-2.833	2.14E-02	8.30E-02	-4.336	Not significant
PLCB3	-0.343	4.494	-2.832	2.15E-02	8.30E-02	-4.338	Not significant
